Brand,model,Year,kmDriven,Transmission,Owner,FuelType,AskPrice
Maruti Suzuki,Swift,2017,83500.0,Manual,second,Diesel,565000.0
Maruti Suzuki,Baleno,2019,45000.0,Automatic,first,Petrol,685000.0
BMW,X3,2014,83000.0,Automatic,first,Diesel,1350000.0
Maruti Suzuki,maruti-suzuki-dzire,2020,33759.0,Manual,second,Petrol,622000.0
Ford,Ecosport,2017,69713.0,Manual,second,Petrol,649000.0
Maruti Suzuki,Alto-K10,2018,70000.0,Automatic,first,Petrol,395000.0
Kia,Carnival,2021,25000.0,Automatic,first,Diesel,2900000.0
Maruti Suzuki,Swift-Dzire,2012,72700.0,Manual,second,Petrol,240000.0
Hyundai,Xcent,2018,130000.0,Manual,second,Diesel,330000.0
Kia,Seltos,2020,68000.0,Manual,first,Diesel,1045000.0
Maruti Suzuki,Ertiga,2016,65000.0,Manual,second,Diesel,785000.0
Maruti Suzuki,Ertiga,2017,59000.0,Automatic,second,Petrol,555000.0
BMW,3 Series GT,2015,61000.0,Automatic,second,Diesel,1500000.0
Ford,Endeavour,2019,77000.0,Automatic,second,Diesel,2399000.0
Toyota,Innova Crysta,2017,107000.0,Automatic,first,Diesel,1325000.0
Honda,City,2010,99000.0,Manual,first,Petrol,295000.0
Audi,A3,2015,42000.0,Automatic,second,Diesel,1050000.0
Renault,KWID,2019,48073.0,Automatic,second,Petrol,355000.0
MG,Hector,2019,32618.0,Automatic,first,Petrol,1250000.0
Maruti Suzuki,Swift-Dzire,2012,70000.0,Manual,second,Diesel,315000.0
Maruti Suzuki,Celerio,2014,51000.0,Automatic,second,Petrol,345000.0
Maruti Suzuki,Vitara-Brezza,2018,137000.0,Manual,first,Diesel,845000.0
Toyota,Innova Crysta,2017,90000.0,Manual,second,Diesel,1950000.0
Toyota,Innova,2011,84000.0,Manual,second,Diesel,490000.0
Volvo,S90,2018,53000.0,Automatic,first,Diesel,2950000.0
Hyundai,Venue,2021,17000.0,Manual,first,Petrol,685000.0
Maruti Suzuki,Ertiga,2018,70000.0,Manual,second,Petrol,749000.0
Hyundai,Alcazar,2022,47110.0,Manual,second,Diesel,1695000.0
Hyundai,i20,2019,35000.0,Manual,first,Petrol,585000.0
Volkswagen,Polo,2021,42000.0,Manual,second,Petrol,675000.0
Maruti Suzuki,Baleno,2018,30000.0,Manual,second,Petrol,630000.0
Hyundai,Verna,2016,82100.0,Manual,second,Diesel,465000.0
Audi,A4,2012,90000.0,Automatic,second,Diesel,899000.0
Mercedes-Benz,C-Class,2015,65000.0,Automatic,first,Diesel,1750000.0
Hyundai,Creta,2022,30000.0,Automatic,second,Petrol,1690000.0
Maruti Suzuki,Swift-Dzire,2020,94856.0,Manual,first,Petrol,690000.0
Toyota,Innova Crysta,2018,118000.0,Automatic,first,Diesel,1795000.0
Mercedes-Benz,C-Class,2016,41000.0,Automatic,second,Petrol,2000000.0
Honda,City,2010,79000.0,Manual,second,Petrol,290000.0
Honda,BRV,2016,103001.0,Manual,second,Diesel,555555.0
Hyundai,Creta,2017,70000.0,Manual,second,Petrol,765000.0
Renault,Duster,2018,130000.0,Manual,first,Diesel,690000.0
Maruti Suzuki,Wagon-R,2011,78000.0,Manual,second,Petrol,225000.0
Toyota,Fortuner,2017,115000.0,Automatic,second,Diesel,2390000.0
Hyundai,Eon,2017,27000.0,Manual,second,Petrol,300000.0
MG,Hector Plus,2020,81600.0,Automatic,first,Petrol,1021000.0
Hyundai,Creta,2017,54000.0,Automatic,first,Petrol,811000.0
Mahindra,XUV500,2018,76000.0,Manual,first,Diesel,1125000.0
Mercedes-Benz,GLS,2014,86000.0,Automatic,first,Diesel,3000000.0
Mercedes-Benz,GLA Class,2018,60000.0,Automatic,second,Diesel,1450000.0
Kia,Carens,2023,24000.0,Manual,first,Petrol,1225000.0
Toyota,Innova,2011,100231.0,Manual,second,Diesel,429101.0
Hyundai,Grand i10,2017,47000.0,Manual,first,Petrol,519999.0
Maruti Suzuki,Swift,2014,67000.0,Manual,first,Petrol,280000.0
Hyundai,Xcent,2016,74500.0,Manual,first,Diesel,425000.0
Honda,City,2016,93000.0,Automatic,second,Petrol,575000.0
Maruti Suzuki,Ritz,2015,59000.0,Manual,first,Petrol,295000.0
Toyota,Innova Crysta,2017,79000.0,Automatic,second,Diesel,1725000.0
Hyundai,Verna,2022,69000.0,Automatic,first,Diesel,1250000.0
Hyundai,Creta,2015,76000.0,Automatic,second,Diesel,650000.0
Kia,Sonet,2020,34500.0,Automatic,first,Petrol,935000.0
Ford,Ecosport,2016,130000.0,Manual,second,Diesel,400000.0
Mahindra,Scorpio-N,2023,15905.0,Automatic,first,Diesel,2350000.0
Toyota,Innova Crysta,2021,21000.0,Manual,first,Diesel,2125000.0
Maruti Suzuki,Ertiga,2015,75000.0,Manual,first,Diesel,435000.0
Volkswagen,Polo,2012,80000.0,Manual,second,Diesel,300000.0
Maruti Suzuki,Wagon-R,2016,50000.0,Manual,first,Petrol,245000.0
Tata,Nexon,2022,40000.0,Automatic,second,Petrol,680000.0
Maruti Suzuki,Ritz,2013,87000.0,Manual,first,Diesel,385000.0
Volkswagen,CrossPolo,2014,80000.0,Manual,second,Diesel,425000.0
Maruti Suzuki,Wagon-R,2014,84000.0,Manual,second,Petrol,265000.0
Volkswagen,Polo,2021,18000.0,Automatic,first,Petrol,850000.0
Maruti Suzuki,Baleno,2017,47000.0,Automatic,first,Petrol,575000.0
Volkswagen,Vento,2011,134000.0,Manual,first,Diesel,425000.0
Maruti Suzuki,Celerio,2015,35000.0,Automatic,first,Petrol,425000.0
Toyota,Fortuner,2012,132000.0,Manual,first,Diesel,1095000.0
Land Rover,Range Rover Evoque,2017,130000.0,Automatic,second,Petrol,2500000.0
Maruti Suzuki,Ertiga,2020,59000.0,Automatic,first,Petrol,980000.0
Tata,Nexon,2018,95000.0,Automatic,second,Petrol,575000.0
Toyota,Camry,2015,68000.0,Automatic,second,Petrol,1185000.0
Skoda,Kushaq,2021,74000.0,Automatic,first,Petrol,1199000.0
Maruti Suzuki,Ritz,2012,88000.0,Manual,first,Petrol,385000.0
Hyundai,Grand i10,2014,47000.0,Automatic,second,Petrol,455000.0
Honda,Brio,2012,68000.0,Manual,first,Petrol,235000.0
Honda,WRV,2017,98000.0,Manual,first,Diesel,600000.0
Land Rover,Discovery Sport,2019,62000.0,Automatic,first,Diesel,3099000.0
Tata,Harrier,2019,67000.0,Manual,second,Diesel,899000.0
Tata,Zest,2015,69000.0,Manual,second,Petrol,340000.0
Maruti Suzuki,Eeco,2021,49000.0,Manual,first,Petrol,540000.0
Toyota,Fortuner,2018,86000.0,Manual,first,Diesel,2499000.0
Hyundai,Creta,2023,35000.0,Automatic,first,Diesel,2025000.0
Maruti Suzuki,Wagon-R,2014,38000.0,Manual,first,Petrol,370000.0
